Year,Year2021Num,TherOrGeneral,PaperLanguage,LanguageOfCORE,OpenAccess,Empirical,AssessmentStructure,DataAvailable,EmbeddedInTherapy,WhichCOREInstruments,FormatOfMeasure,OtherMeasureNames,Countries,AgeGroups,GenderCategories,Author,DOI,URL,ref,shinyID,TitleExcel,OtherMeasureNamesLwr,inclYP,inclOP,cite,Foci
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,YP-CORE;,Unknown;,Strengths and Difficulties Questionnaire (SDQ),UK,Adolescents;,Unknown,"cooper, mick; pybis, joanne; hill, andy; jones, sylvia; cromarty, karen",10.1080/14733145.2012.713372,<a href='http://doi.wiley.com/10.1080/14733145.2012.713372' target='_blank' >http://doi.wiley.com/10.1080/14733145.2012.713372</a>,"Cooper, Mick, Pybis, Joanne ... Cromarty, Karen (2013) Therapeutic outcomes in the Welsh government's school-based counselling strategy: An evaluation. Counselling and Psychotherapy Research 13:13(2):86-97",2013_007,therapeutic outcomes in the welsh government's school-based counselling strategy: an evaluation,strengths and difficulties questionnaire (sdq),Y,NA,"Cooper, Mick, Pybis, Joanne ... Cromarty, Karen (2013)",
2013,2013,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"Achenbach Youth Self-Report (A-YSR),Goodman Strength and Difﬁculties Questionnaire (SDQ),Adolescent Well-being Scale (AWS) Health of Nation Outcome Scales for Children and Adolescents (HoNOSCA),Goal-Based Outcome Measure (GBO)",NA,NA,Not applicable,"doran, angie",10.1080/14753634.2013.748553,<a href='http://www.tandfonline.com/doi/abs/10.1080/14753634.2013.748553' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/14753634.2013.748553</a>,"Doran, Angie (2013) Informed outcomes: Self-rating measures and their use in psychodynamic therapy with adolescents. Psychodynamic Practice 19:19(1):22-37",2013_008,informed outcomes: self-rating measures and their use in psychodynamic therapy with adolescents,"achenbach youth self-report (a-ysr),goodman strength and difﬁculties questionnaire (sdq),adolescent well-being scale (aws) health of nation outcome scales for children and adolescents (honosca),goal-based outcome measure (gbo)",NA,NA,"Doran, Angie (2013)",
2013,2013,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"Personal Questionnaire (PQ),Social Phobia Inventory (SPI),Inventory of Interpersonal Problems-Circumplex version (IIP-C),Strathclyde Inventory (SI),Interpersonal Problem Distress Measure (IPDM)",NA,NA,Not applicable,"elliott, robert",10.1080/14779757.2013.767750,<a href='http://www.tandfonline.com/doi/abs/10.1080/14779757.2013.767750' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/14779757.2013.767750</a>,"Elliott, Robert (2013) Person-centered/experiential psychotherapy for anxiety difficulties: Theory, research and practice. Person-Centered & Experiential Psychotherapies 12:12(1):16-32",2013_009,"person-centered/experiential psychotherapy for anxiety difficulties: theory, research and practice","personal questionnaire (pq),social phobia inventory (spi),inventory of interpersonal problems-circumplex version (iip-c),strathclyde inventory (si),interpersonal problem distress measure (ipdm)",NA,NA,"Elliott, Robert (2013)",
2013,2013,Treatment,English,NA,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,Working Alliance Inventory-Short Revised (WAI-SR),Sweden,NA,Men;Women,"falkenström, fredrik; granström, fredrik; holmqvist, rolf",10.1037/a0032258,<a href='http://doi.apa.org/getdoi.cfm?doi=10.1037/a0032258' target='_blank' >http://doi.apa.org/getdoi.cfm?doi=10.1037/a0032258</a>,"Falkenström, Fredrik, Granström, Fredrik ... Holmqvist, Rolf (2013) Therapeutic alliance predicts symptomatic improvement session by session. Journal of Counseling Psychology 60:60(3):317-328",2013_010,therapeutic alliance predicts symptomatic improvement session by session,working alliance inventory-short revised (wai-sr),Y,NA,"Falkenström, Fredrik, Granström, Fredrik ... Holmqvist, Rolf (2013)",Anxiety; Depression; 
2013,2013,Treatment,English,NA,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,"Traumatic Events Screening Inventory (TESI),Clinician Administered PTSD Scale (CAPS),Alcohol,Smoking and Substance InvolvementScreening Test (ASSIST),Trauma Symptom Inventory (TSI),Generalized Expectancies for Negative Mood Regulation (NMR),Heartland Forgiveness Scale (FS),Expectancy of Therapeutic Outcome (ETO),Working Alliance Inventory-Short Revised (WAI-SR)",USA,NA,Women,"ford, julian d.; chang, rocío; levine, joan; zhang, wanli",10.1016/j.beth.2012.10.003,<a href='https://linkinghub.elsevier.com/retrieve/pii/S0005789412001190' target='_blank' >https://linkinghub.elsevier.com/retrieve/pii/S0005789412001190</a>,"Ford, Julian D., Chang, Rocío ... Zhang, Wanli (2013) Randomized clinical trial comparing affect regulation and supportive group therapies for victimization-related PTSD with incarcerated women. Behavior Therapy 44:44(2):262-276",2013_011,randomized clinical trial comparing affect regulation and supportive group therapies for victimization-related ptsd with incarcerated women,"traumatic events screening inventory (tesi),clinician administered ptsd scale (caps),alcohol,smoking and substance involvementscreening test (assist),trauma symptom inventory (tsi),generalized expectancies for negative mood regulation (nmr),heartland forgiveness scale (fs),expectancy of therapeutic outcome (eto),working alliance inventory-short revised (wai-sr)",NA,NA,"Ford, Julian D., Chang, Rocío ... Zhang, Wanli (2013)",Trauma/abuse
2013,2013,Treatment,English,English,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,NA,UK,NA,Men;Women,"gaynor, keith; brown, june s. l.",10.3109/09638237.2012.734646,<a href='http://www.tandfonline.com/doi/full/10.3109/09638237.2012.734646' target='_blank' >http://www.tandfonline.com/doi/full/10.3109/09638237.2012.734646</a>,"Gaynor, Keith & Brown, June S. L. (2013) Self-referrers to community workshops: Who are they and why do some participants not consult with their GP about their mental health difficulties?. Journal of Mental Health 22:22(3):227-236",2013_012,self-referrers to community workshops: who are they and why do some participants not consult with their gp about their mental health difficulties?,NA,NA,NA,"Gaynor, Keith & Brown, June S. L. (2013)",
2013,2013,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"goodman, jessica d.; mckay, james r.; dephilippis, dominick",10.1037/a0032605,<a href='http://doi.apa.org/getdoi.cfm?doi=10.1037/a0032605' target='_blank' >http://doi.apa.org/getdoi.cfm?doi=10.1037/a0032605</a>,"Goodman, Jessica D., McKay, James R. ... DePhilippis, Dominick (2013) Progress monitoring in mental health and addiction treatment: A means of improving care. Professional Psychology: Research and Practice 44:44(4):231-246",2013_013,progress monitoring in mental health and addiction treatment: a means of improving care,NA,NA,NA,"Goodman, Jessica D., McKay, James R. ... DePhilippis, Dominick (2013)",
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,NA,UK,NA,Men;Women,"hodge, suzanne; barr, wally; bowen, louise; leeven, martina; knox, paul",10.1177/0264619612465168,<a href='http://journals.sagepub.com/doi/10.1177/0264619612465168' target='_blank' >http://journals.sagepub.com/doi/10.1177/0264619612465168</a>,"Hodge, Suzanne, Barr, Wally ... Knox, Paul (2013) Exploring the role of an emotional support and counselling service for people with visual impairments. British Journal of Visual Impairment 31:31(1):5-19",2013_014,exploring the role of an emotional support and counselling service for people with visual impairments,NA,Y,NA,"Hodge, Suzanne, Barr, Wally ... Knox, Paul (2013)",
2013,2013,Treatment,English,Icelandic,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Psychological Outcome Profiles (PSYCHLOPS),Iceland,NA,Men;Women,"héðinsson, helgi; kristjánsdóttir, hafrún; ólason, daníel þór; sigurðsson, jón friðrik",10.1027/1015-5759/a000136,<a href='https://econtent.hogrefe.com/doi/10.1027/1015-5759/a000136' target='_blank' >https://econtent.hogrefe.com/doi/10.1027/1015-5759/a000136</a>,"Héðinsson, Helgi, Kristjánsdóttir, Hafrún ... Sigurðsson, Jón Friðrik (2013) A validation and replication study of the patient-generated measure PSYCHLOPS on an Icelandic clinical population. European Journal of Psychological Assessment 29:29(2):89-95",2013_015,a validation and replication study of the patient-generated measure psychlops on an icelandic clinical population,psychological outcome profiles (psychlops),NA,NA,"Héðinsson, Helgi, Kristjánsdóttir, Hafrún ... Sigurðsson, Jón Friðrik (2013)",
2013,2013,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,Outcome Questionnaire-45 (OQ-45),NA,NA,Not applicable,"iwakabe, shigeru",10.2117/psysoc.2013.89,<a href='https://www.jstage.jst.go.jp/article/psysoc/56/2/56_89/_article' target='_blank' >https://www.jstage.jst.go.jp/article/psysoc/56/2/56_89/_article</a>,"Iwakabe, Shigeru (2013) Competing models of evidence and corroborating research strategies: Shaping the landscape of psychotherapy research in the era of evidence-based practice. Psychologia 56:56(2):89-112",2013_016,competing models of evidence and corroborating research strategies: shaping the landscape of psychotherapy research in the era of evidence-based practice,outcome questionnaire-45 (oq-45),NA,NA,"Iwakabe, Shigeru (2013)",
2013,2013,Treatment,English,English,N,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,N,CORE-OM;,Unknown;,"Standardized Assessment of Personality-Abbreviated Scale (SAP-AS),Brief Symptom Inventory-18 (BSI-18),Beck depression inventory-II (BDI-II),Patient Health Questionnaire (PHQ-9),State-Trait Anxiety Inventory (STAI),Generalized Anxienty Disorder (GAD-7),Social Adjustment Scale Self-Report (SAS-SR),Inventory of Interpersonal Problems-Circumplex version (IIP-C),Rosenberg Self-Esteem Scale (RSE),EuroQol (EQ-5D),Client Satisfaction Questionnaire-8 (CSQ-8),Health of Nation Outcome Scale (HoNOS),Global Assessment of Functioning (GAF)",UK,Any adults;,Men;Women,"jones, barry; juett, georgia; hill, nathan",10.1108/09641861311330491,<a href='https://www.emerald.com/insight/content/doi/10.1108/09641861311330491/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/09641861311330491/full/html</a>,"Jones, Barry, Juett, Georgia ... Hill, Nathan (2013) Initial outcomes of a therapeutic community‐based outpatient programme in the management of personality disorder. Therapeutic Communities: The International Journal of Therapeutic Communities 34:34(1):41-52",2013_017,initial outcomes of a therapeutic community-based outpatient programme in the management of personality disorder,"standardized assessment of personality-abbreviated scale (sap-as),brief symptom inventory-18 (bsi-18),beck depression inventory-ii (bdi-ii),patient health questionnaire (phq-9),state-trait anxiety inventory (stai),generalized anxienty disorder (gad-7),social adjustment scale self-report (sas-sr),inventory of interpersonal problems-circumplex version (iip-c),rosenberg self-esteem scale (rse),euroqol (eq-5d),client satisfaction questionnaire-8 (csq-8),health of nation outcome scale (honos),global assessment of functioning (gaf)",NA,NA,"Jones, Barry, Juett, Georgia ... Hill, Nathan (2013)",Personality
2013,2013,Treatment,English,English,N,Empirical,Session-by-session,N,Y,CORE-OM;,Unknown;,"Competency of Cognitive Analytic Therapy Measure (CCAT),Personality Structure Questionnaire (PSQ),Borderline Index of Severity (BIS),Dissociative Experiences Scale (DES)",UK,NA,Men;Women,"kellett, stephen; bennett, dawn; ryle, tony; thake, anna",10.1002/cpp.796,<a href='https://onlinelibrary.wiley.com/doi/10.1002/cpp.796' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/cpp.796</a>,"Kellett, Stephen, Bennett, Dawn ... Thake, Anna (2013) Cognitive analytic therapy for borderline personality disorder: Therapist competence and therapeutic effectiveness in routine practice. Clinical Psychology & Psychotherapy 20:20(3):216-225",2013_018,cognitive analytic therapy for borderline personality disorder: therapist competence and therapeutic effectiveness in routine practice,"competency of cognitive analytic therapy measure (ccat),personality structure questionnaire (psq),borderline index of severity (bis),dissociative experiences scale (des)",NA,NA,"Kellett, Stephen, Bennett, Dawn ... Thake, Anna (2013)",Personality
2013,2013,Treatment,English,English,N,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,N,CORE-OM;,Unknown;,"General Self-efficacy Scale (GSES),Work and Social Adjustment Scale (WSAS)",UK,Any adults;,Men;Women,"kellett, stephen; purdie, fiona; bickerstaffe, darren; hopper, sophie; scott, sarah",10.1016/j.brat.2012.12.002,<a href='https://linkinghub.elsevier.com/retrieve/pii/S0005796712001891' target='_blank' >https://linkinghub.elsevier.com/retrieve/pii/S0005796712001891</a>,"Kellett, Stephen, Purdie, Fiona ... Scott, Sarah (2013) Predicting return to work from health related welfare following low intensity cognitive behaviour therapy. Behaviour Research and Therapy 51:51(3):134-141",2013_019,predicting return to work from health related welfare following low intensity cognitive behaviour therapy,"general self-efficacy scale (gses),work and social adjustment scale (wsas)",NA,NA,"Kellett, Stephen, Purdie, Fiona ... Scott, Sarah (2013)",
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,"Beck Depression Inventory-II (BDI-II),Beck Hopelessness Scale (BHS)",USA,Any adults;,Men;Women,"koons, cedar r.; o’rourke, beth; carter, barbara; erhardt, erik b.",10.1016/j.cbpra.2013.01.003,<a href='https://linkinghub.elsevier.com/retrieve/pii/S1077722913000072' target='_blank' >https://linkinghub.elsevier.com/retrieve/pii/S1077722913000072</a>,"Koons, Cedar R., O’Rourke, Beth ... Erhardt, Erik B. (2013) Negotiating for improved reimbursement for Dialectical Behavior Therapy: A successful project. Cognitive and Behavioral Practice 20:20(3):314-324",2013_020,negotiating for improved reimbursement for dialectical behavior therapy: a successful project,"beck depression inventory-ii (bdi-ii),beck hopelessness scale (bhs)",Y,N,"Koons, Cedar R., O’Rourke, Beth ... Erhardt, Erik B. (2013)",Depression; PersonalityTrauma/abuse
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-10;,Unknown;,"Generalized Anxienty Disorder (GAD-7),Patient Health Questionnaire (PHQ-9)",UK,Adolescents;,Men;Women,"loewenthal, del",10.1080/15401383.2013.763679,<a href='http://www.tandfonline.com/doi/abs/10.1080/15401383.2013.763679' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/15401383.2013.763679</a>,"Loewenthal, Del (2013) Talking pictures therapy as brief therapy in a school setting. Journal of Creativity in Mental Health 8:8(1):21-34",2013_021,talking pictures therapy as brief therapy in a school setting,"generalized anxienty disorder (gad-7),patient health questionnaire (phq-9)",Y,N,"Loewenthal, Del (2013)",
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Paper and pencil;,General Health Questionnaire (GHQ-12),UK,NA,Men;Women,"macdonald, j.; vallance, d.; mcgrath, m.",10.1111/j.1365-2850.2012.01962.x,<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2850.2012.01962.x' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2850.2012.01962.x</a>,"Macdonald, J., Vallance, D. ... McGrath, M. (2013) An evaluation of a collaborative bibliotherapy scheme delivered via a library service: Evaluation of a bibliotherapy intervention. Journal of Psychiatric and Mental Health Nursing 20:20(10):857-865",2013_022,an evaluation of a collaborative bibliotherapy scheme delivered via a library service: evaluation of a bibliotherapy intervention,general health questionnaire (ghq-12),Y,NA,"Macdonald, J., Vallance, D. ... McGrath, M. (2013)",Anxiety; Depression; 
2013,2013,Treatment,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,"Everyday Feelings Questionnaire (EFQ),Patient Health Questionnaire (PHQ-9),Generalized Anxienty Disorder (GAD-7),Beck Depression Inventory (BDI),World Health Organization Quality of Life Brief Version (WHOQOL-BREF)",NA,NA,Not applicable,"mann, joanna; henley, william; o’mahen, heather; ford, tamsin",10.1016/j.jad.2012.03.045,<a href='https://linkinghub.elsevier.com/retrieve/pii/S0165032712002479' target='_blank' >https://linkinghub.elsevier.com/retrieve/pii/S0165032712002479</a>,"Mann, Joanna, Henley, William ... Ford, Tamsin (2013) The reliability and validity of the Everyday Feelings Questionnaire in a clinical population. Journal of Affective Disorders 148:148(2-3):406-410",2013_023,the reliability and validity of the everyday feelings questionnaire in a clinical population,"everyday feelings questionnaire (efq),patient health questionnaire (phq-9),generalized anxienty disorder (gad-7),beck depression inventory (bdi),world health organization quality of life brief version (whoqol-bref)",NA,NA,"Mann, Joanna, Henley, William ... Ford, Tamsin (2013)",
2013,2013,General population,English,English,N,Empirical,Only once,Y,N,CORE-OM;,As an interview/Interview-assisted;,NA,UK,NA,Men;Women,"mavranezouli, ifigeneia; brazier, john e.; rowen, donna; barkham, michael",10.1177/0272989X12464431,<a href='http://journals.sagepub.com/doi/10.1177/0272989X12464431' target='_blank' >http://journals.sagepub.com/doi/10.1177/0272989X12464431</a>,"Mavranezouli, Ifigeneia, Brazier, John E. ... Barkham, Michael (2013) Estimating a preference-based index from the Clinical Outcomes in Routine Evaluation–Outcome Measure (CORE-OM): Valuation of CORE-6D. Medical Decision Making 33:33(3):381-395",2013_024,estimating a preference-based index from the clinical outcomes in routine evaluation-outcome measure (core-om): valuation of core-6d,NA,NA,NA,"Mavranezouli, Ifigeneia, Brazier, John E. ... Barkham, Michael (2013)",
2013,2013,Treatment,English,English,N,Empirical,"Fixed intervals (e.g., once a month, once every two weeks)",N,Y,YP-CORE;,Electronic/automated instruments;,Strengths and Difficulties Questionnaire (SDQ),UK,Children;Adolescents;,Men;Women,"mcarthur, katherine; cooper, mick; berdondini, lucia",10.1080/10503307.2012.726750,<a href='http://www.tandfonline.com/doi/abs/10.1080/10503307.2012.726750' target='_blank' >http://www.tandfonline.com/doi/abs/10.1080/10503307.2012.726750</a>,"McArthur, Katherine, Cooper, Mick ... Berdondini, Lucia (2013) School-based humanistic counseling for psychological distress in young people: Pilot randomized controlled trial. Psychotherapy Research 23:23(3):355-365",2013_025,school-based humanistic counseling for psychological distress in young people: pilot randomized controlled trial,strengths and difficulties questionnaire (sdq),Y,N,"McArthur, Katherine, Cooper, Mick ... Berdondini, Lucia (2013)",
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-OM;,Paper and pencil;,NA,Ireland,NA,Men;Women,"mcelvaney, james; timulak, ladislav",10.1080/14733145.2012.761258,<a href='http://doi.wiley.com/10.1080/14733145.2012.761258' target='_blank' >http://doi.wiley.com/10.1080/14733145.2012.761258</a>,"McElvaney, James & Timulak, Ladislav (2013) Clients' experience of therapy and its outcomes in ‘good’ and ‘poor’ outcome psychological therapy in a primary care setting: An exploratory study. Counselling and Psychotherapy Research 13:13(4):246-253",2013_026,clients' experience of therapy and its outcomes in ‘good' and ‘poor' outcome psychological therapy in a primary care setting: an exploratory study,NA,NA,NA,"McElvaney, James & Timulak, Ladislav (2013)",
2013,2013,Treatment,English,English,Y,Empirical,Pre-post,N,N,CORE-OM;,Unknown;,Service user and GP satisfaction questionnaires,Ireland,NA,Men;Women,"mchugh, patrick; brennan, john; galligan, niall; mcgonagle, claire; byrne, michael",NA,<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3822673/' target='_blank' >https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3822673/</a>,"McHugh, Patrick, Brennan, John ... Byrne, Michael (2013) Evaluation of a primary care adult mental health service: Year 2. Mental Health in Family Medicine 10:10(1):53-59",2013_027,evaluation of a primary care adult mental health service: year 2,service user and gp satisfaction questionnaires,Y,NA,"McHugh, Patrick, Brennan, John ... Byrne, Michael (2013)",Anxiety; Depression; 
2013,2013,Treatment,English,English,N,Empirical,Session-by-session,N,N,CORE-OM;,Unknown;,NA,UK,NA,Women,"mcleod, julia",10.1080/14733145.2012.709873,<a href='http://doi.wiley.com/10.1080/14733145.2012.709873' target='_blank' >http://doi.wiley.com/10.1080/14733145.2012.709873</a>,"McLeod, Julia (2013) Process and outcome in pluralistic transactional analysis counselling for long-term health conditions: A case series. Counselling and Psychotherapy Research 13:13(1):32-43",2013_028,process and outcome in pluralistic transactional analysis counselling for long-term health conditions: a case series,NA,NA,NA,"McLeod, Julia (2013)",
2013,2013,Treatment,English,NA,N,Empirical,Only once,N,N,CORE-OM;,Unknown;,NA,UK,NA,Men;Women,"perry, tina; barkham, michael; evans, chris",10.1108/14636641311299068,<a href='https://www.emerald.com/insight/content/doi/10.1108/14636641311299068/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/14636641311299068/full/html</a>,"Perry, Tina, Barkham, Michael ... Evans, Chris (2013) The CORE‐OM and CORE‐OM (SV) in secure settings: A template analysis of the experiences of male patients and their staff. The Journal of Forensic Practice 15:15(1):32-43",2013_029,the core-om and core-om (sv) in secure settings: a template analysis of the experiences of male patients and their staff,NA,NA,NA,"Perry, Tina, Barkham, Michael ... Evans, Chris (2013)",Psychotic problems; 
2013,2013,Treatment,English,NA,N,Empirical,Pre-post,N,N,CORE-10;CORE-OM;,Unknown;,NA,UK,NA,Men;Women,"peter andrews, william; peter wislocki, andrew; short, fay; chow, daryl; minami, takuya",10.1108/MHRJ-04-2013-0011,<a href='https://www.emerald.com/insight/content/doi/10.1108/MHRJ-04-2013-0011/full/html' target='_blank' >https://www.emerald.com/insight/content/doi/10.1108/MHRJ-04-2013-0011/full/html</a>,"Peter Andrews, William, Peter Wislocki, Andrew ... Minami, Takuya (2013) A five-year evaluation of the Human Givens therapy using a practice research network. Mental Health Review Journal 18:18(3):165-176",2013_030,a five-year evaluation of the human givens therapy using a practice research network,NA,NA,NA,"Peter Andrews, William, Peter Wislocki, Andrew ... Minami, Takuya (2013)",Anxiety; Depression; 
2013,2013,General population,English,NA,N,Empirical,Only once,N,N,CORE-OM;,Electronic/automated instruments;,"Rosenberg Self-esteem Scale,Cystic Fibrosis Questionnaire-Revised (CFQ-R)",UK,NA,Men;Women,"platten, melanie jane; newman, emily; quayle, ethel",10.1007/s10880-012-9346-8,<a href='http://link.springer.com/10.1007/s10880-012-9346-8' target='_blank' >http://link.springer.com/10.1007/s10880-012-9346-8</a>,"Platten, Melanie Jane, Newman, Emily ... Quayle, Ethel (2013) Self-esteem and its relationship to mental health and quality of life in adults with cystic fibrosis. Journal of Clinical Psychology in Medical Settings 20:20(3):392-399",2013_031,self-esteem and its relationship to mental health and quality of life in adults with cystic fibrosis,"rosenberg self-esteem scale,cystic fibrosis questionnaire-revised (cfq-r)",NA,NA,"Platten, Melanie Jane, Newman, Emily ... Quayle, Ethel (2013)",
2013,2013,Treatment,English,NA,N,Empirical,Pre-post,Y,N,CORE-OM;,Unknown;,Goal Attainment Form (GAF),UK,NA,Men;Women,"proctor, gillian; hargate, rebecca",10.1080/14733145.2012.742918,<a href='http://doi.wiley.com/10.1080/14733145.2012.742918' target='_blank' >http://doi.wiley.com/10.1080/14733145.2012.742918</a>,"Proctor, Gillian & Hargate, Rebecca (2013) Quantitative and qualitative analysis of a set of goal attainment forms in primary care mental health services. Counselling and Psychotherapy Research 13:13(3):235-241",2013_032,quantitative and qualitative analysis of a set of goal attainment forms in primary care mental health services,goal attainment form (gaf),NA,NA,"Proctor, Gillian & Hargate, Rebecca (2013)",
2013,2013,Treatment,English,NA,N,Empirical but did not use CORE,Not applicable,NA,NA,NA,NA,"Marlowe-Crowne Social Desirability Scale–Short Form (SDS),Helping Alliance Questionnaire-II (HAQ-II)",NA,NA,Not applicable,"reese, robert j.; gillaspy, j. arthur; owen, jesse j.; flora, kevin l.; cunningham, linda c.; archie, danielle; marsden, troymichael",10.1002/jclp.21946,<a href='https://onlinelibrary.wiley.com/doi/10.1002/jclp.21946' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/jclp.21946</a>,"Reese, Robert J., Gillaspy, J. Arthur ... Marsden, TroyMichael (2013) The influence of demand characteristics and social desirability on clients’ ratings of the therapeutic alliance: Demand characteristics and the therapeutic alliance. Journal of Clinical Psychology 69:69(7):696-709",2013_033,the influence of demand characteristics and social desirability on clients' ratings of the therapeutic alliance: demand characteristics and the therapeutic alliance,"marlowe-crowne social desirability scale–short form (sds),helping alliance questionnaire-ii (haq-ii)",NA,NA,"Reese, Robert J., Gillaspy, J. Arthur ... Marsden, TroyMichael (2013)",
2013,2013,Treatment,English,English,N,Empirical,Pre-post,N,N,CORE-10;,Unknown;,"Brief Symptom Inventory (BSI),Beck Depression Inventory-II (BDI-II),History Questionnaire (HQ),Working Alliance Inventory-Short Revised (WAI-SR),Responsiveness Adherence Measure (RAM)",Ireland,NA,Men;Women,"richards, derek; timulak, ladislav; hevey, david",10.1080/14733145.2012.733715,<a href='http://doi.wiley.com/10.1080/14733145.2012.733715' target='_blank' >http://doi.wiley.com/10.1080/14733145.2012.733715</a>,"Richards, Derek, Timulak, Ladislav ... Hevey, David (2013) A comparison of two online cognitive-behavioural interventions for symptoms of depression in a student population: The role of therapist responsiveness. Counselling and Psychotherapy Research 13:13(3):184-193",2013_034,a comparison of two online cognitive-behavioural interventions for symptoms of depression in a student population: the role of therapist responsiveness,"brief symptom inventory (bsi),beck depression inventory-ii (bdi-ii),history questionnaire (hq),working alliance inventory-short revised (wai-sr),responsiveness adherence measure (ram)",NA,NA,"Richards, Derek, Timulak, Ladislav ... Hevey, David (2013)",
2013,2013,Treatment,English,NA,N,Non-empirical,Not applicable,NA,NA,NA,NA,"State-Trait Anxiety Inventory (STAI),Problem Severity and Frequency Scale (PSFS),Social Skills Rating System Scale (SSRSS),Working Alliance Inventory (WAI),General Health Questionnaire (GHQ),Body Shape Questionnaire (BSQ),Eating Disorders Inventory (EDI),Eating Disorder Examination Questionnaire (EDE-Q),Loneliness Scale (LS),Emotional Versus Social Loneliness Scale (ESLS),Client Satisfaction Inventory (CSI)",NA,NA,Not applicable,"richards, derek; viganó, noemi",10.1002/jclp.21974,<a href='https://onlinelibrary.wiley.com/doi/10.1002/jclp.21974' target='_blank' >https://onlinelibrary.wiley.com/doi/10.1002/jclp.21974</a>,"Richards, Derek & Viganó, Noemi (2013) Online counseling: A narrative and critical review of the literature. Journal of Clinical Psychology 69:69(9):994-1011",2013_035,online counseling: a narrative and critical review of the literature,"state-trait anxiety inventory (stai),problem severity and frequency scale (psfs),social skills rating system scale (ssrss),working alliance inventory (wai),general health questionnaire (ghq),body shape questionnaire (bsq),eating disorders inventory (edi),eating disorder examination questionnaire (ede-q),loneliness scale (ls),emotional versus social loneliness scale (esls),client satisfaction inventory (csi)",NA,NA,"Richards, Derek & Viganó, Noemi (2013)",
2013,2013,General population,English,British Sign Language (BSL),Y,Empirical,Only once,N,N,CORE-OM;,Unknown;,"Patient Health Questionnaire (PHQ-9),Generalized Anxienty Disorder (GAD-7),Work and Social Adjustment Scale (WSAS)",UK,NA,Men;Women,"rogers, k. d.; young, a.; lovell, k.; campbell, m.; scott, p. r.; kendal, s.",10.1093/deafed/ens040,<a href='https://academic.oup.com/jdsde/article-lookup/doi/10.1093/deafed/ens040' target='_blank' >https://academic.oup.com/jdsde/article-lookup/doi/10.1093/deafed/ens040</a>,"Rogers, K. D., Young, A. ... Kendal, S. (2013) The British Sign Language versions of the Patient Health Questionnaire, the Generalized Anxiety Disorder 7-Item Scale, and the Work and Social Adjustment Scale. Journal of Deaf Studies and Deaf Education 18:18(1):110-122",2013_036,"the british sign language versions of the patient health questionnaire, the generalized anxiety disorder 7-item scale, and the work and social adjustment scale","patient health questionnaire (phq-9),generalized anxienty disorder (gad-7),work and social adjustment scale (wsas)",NA,NA,"Rogers, K. D., Young, A. ... Kendal, S. (2013)",
2013,2013,Treatment,English,NA,Y,Non-empirical,Not applicable,NA,NA,NA,NA,NA,NA,NA,Not applicable,"rogers, k. d.; young, a.; lovell, k.; evans, c.",10.1093/deafed/ent002,<a href='https://academic.oup.com/jdsde/article-lookup/doi/10.1093/deafed/ent002' target='_blank' >https://academic.oup.com/jdsde/article-lookup/doi/10.1093/deafed/ent002</a>,"Rogers, K. D., Young, A. ... Evans, C. (2013) The challenges of translating the Clinical Outcomes in Routine Evaluation-Outcome Measure (CORE-OM) into British Sign Language. Journal of Deaf Studies and Deaf Education 18:18(3):287-298",2013_037,the challenges of translating the clinical outcomes in routine evaluation-outcome measure (core-om) into british sign language,NA,NA,NA,"Rogers, K. D., Young, A. ... Evans, C. (2013)",
